"","Episode","Series","NChars","N_F"
"1","EPMA0000001373","TNG",18,6
"2","EPMA0000001354","TNG",14,2
"3","EPMA0000000652","TNG",15,2
"4","EPMA0000001331","TNG",10,2
"5","EPMA0000001398","TNG",14,2
"6","EPMA0000085074","TNG",10,1
"7","EPMA0000001400","TNG",16,4
"8","EPMA0000001326","TNG",14,1
"9","EPMA0000000503","TNG",12,2
"10","EPMA0000000516","TNG",15,2
"11","EPMA0000001341","TNG",15,2
"12","EPMA0000000504","TNG",14,2
"13","EPMA0000001457","TNG",17,5
"14","EPMA0000001364","TNG",17,3
"15","EPMA0000000499","TNG",14,3
"16","EPMA0000001381","TNG",23,4
"17","EPMA0000100028","TNG",15,4
"18","EPMA0000001436","TNG",19,3
"19","EPMA0000000501","TNG",14,4
"20","EPMA0000001401","TNG",16,3
"21","EPMA0000001417","TNG",18,3
"22","EPMA0000000513","TNG",15,3
"23","EPMA0000000398","TNG",13,3
"24","EPMA0000001415","TNG",12,3
"25","EPMA0000001444","TNG",13,3
"26","EPMA0000001437","TNG",13,3
"27","EPMA0000001316","TNG",16,3
"28","EPMA0000001438","TNG",15,4
"29","EPMA0000001440","TNG",17,4
"30","EPMA0000001395","TNG",14,4
"31","EPMA0000001386","TNG",17,3
"32","EPMA0000000483","TNG",13,3
"33","EPMA0000001439","TNG",14,5
"34","EPMA0000000397","TNG",14,2
"35","EPMA0000001377","TNG",13,3
"36","EPMA0000001321","TNG",12,3
"37","EPMA0000001337","TNG",14,2
"38","EPMA0000001453","TNG",16,3
"39","EPMA0000001387","TNG",14,4
"40","EPMA0000000491","TNG",13,3
"41","EPMA0000001350","TNG",15,2
"42","EPMA0000001345","TNG",15,2
"43","EPMA0000001323","TNG",13,2
"44","EPMA0000001393","TNG",19,4
"45","EPMA0000001383","TNG",23,6
"46","EPMA0000000512","TNG",11,4
"47","EPMA0000001328","TNG",14,2
"48","EPMA0000001329","TNG",12,2
"49","EPMA0000001412","TNG",17,4
"50","EPMA0000001320","TNG",11,1
"51","EPMA0000000506","TNG",12,2
"52","EPMA0000043558","TNG",14,2
"53","EPMA0000001403","TNG",20,7
"54","EPMA0000001427","TNG",13,4
"55","EPMA0000001325","TNG",8,1
"56","EPMA0000001406","TNG",15,4
"57","EPMA0000001356","TNG",17,3
"58","EPMA0000001392","TNG",15,3
"59","EPMA0000001353","TNG",15,2
"60","EPMA0000001361","TNG",14,2
"61","EPMA0000001454","TNG",22,5
"62","EPMA0000000517","TNG",15,3
"63","EPMA0000001407","TNG",16,2
"64","EPMA0000001359","TNG",16,3
"65","EPMA0000001442","TNG",11,3
"66","EPMA0000057417","TNG",15,4
"67","EPMA0000001340","TNG",16,3
"68","EPMA0000001449","TNG",13,4
"69","EPMA0000000500","TNG",11,2
"70","EPMA0000001349","TNG",14,3
"71","EPMA0000000509","TNG",19,4
"72","EPMA0000019792","TNG",16,4
"73","EPMA0000001421","TNG",17,3
"74","EPMA0000001411","TNG",16,5
"75","EPMA0000001367","TNG",15,3
"76","EPMA0000000488","TNG",12,3
"77","EPMA0000001425","TNG",17,4
"78","EPMA0000001369","TNG",19,3
"79","EPMA0000001313","TNG",11,1
"80","EPMA0000001368","TNG",15,4
"81","EPMA0000001409","TNG",16,3
"82","EPMA0000000498","TNG",13,3
"83","EPMA0000001413","TNG",17,3
"84","EPMA0000001312","TNG",14,2
